epoch,train_loss,train_acc,train_top5,test_loss,test_acc,test_top5
1,3.174869,0.046907,0.236727,3.184240,0.055905,0.206848
2,3.172162,0.051546,0.243557,3.175967,0.055905,0.229210
3,3.171523,0.048196,0.243041,3.181900,0.055905,0.229210
4,3.171186,0.051418,0.241624,3.186320,0.005590,0.174703
5,3.171005,0.051418,0.248067,3.183267,0.005590,0.229210
6,3.170914,0.050387,0.244845,3.187736,0.058001,0.190077
7,3.169269,0.050000,0.252191,3.183036,0.025157,0.178896
8,3.157029,0.058119,0.257216,3.212456,0.031447,0.257862
9,3.143456,0.063789,0.263918,3.241649,0.016073,0.222921
10,3.138111,0.064433,0.268686,3.462904,0.036338,0.252970
11,3.132547,0.066753,0.285309,3.551204,0.030748,0.281621
12,3.126364,0.067010,0.287887,3.629766,0.044025,0.280224
13,3.123602,0.071134,0.283119,3.847907,0.070580,0.283718
14,3.117371,0.071392,0.290722,4.027312,0.055905,0.295597
15,3.112577,0.074098,0.293814,4.254117,0.053809,0.276031
16,3.106893,0.072423,0.297680,4.308054,0.073375,0.300489
17,3.103468,0.073840,0.294459,4.688995,0.066387,0.264151
